Kov,Maakond,Kandidaat,Erakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 101 VEIKKO LUHALAID,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 102 IRAIDA TŠUBENKO,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 103 JÜRI KIIK,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 104 VERONIKA STEPANOVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 105 ERIK PERTSEV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 106 KÄDI KOPPE,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 107 ALEKSANDR PAHHOMOV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 108 KAI KIIVER,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 109 HEIKI ROOTS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 110 INGA SAMUSSEVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 111 ARVI PIIBE,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 112 NATALJA KAURSON,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 113 VÄINO TUUDER,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 114 VALENTINA FADEJEVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 115 DENISS KOŠELEV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 116 RIINA KOIT,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 117 VIKTOR GOLOVNJA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 118 TATJANA TŠITŠKINA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 119 AIVAR KARU,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 120 SOFIA LAUSTAM,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 121 AARE AAS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 122 LAURA RUGAIS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 123 INNA ROOSI,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 124 JAAN METSIS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 125 ANNA TARASSOVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 126 ANDERS JAAKSON,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 127 SAIMA ILLIPE,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 128 VJATŠESLAV KÜLAOTS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 129 RITA JAAKSON,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 130 NIKOLAI HINTS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 131 IRINA KLISHINA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 132 METŠISLAVAS TAMBERG,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 133 MARINA PERTSEVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 134 INDREK RANDOJA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 135 NADEŽDA MURAŠOVA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 136 IMRE LIIV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 137 KERSTI OBJARTEL,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 138 ARVO LAUR,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 139 AET LUKSO,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 140 JÜRI JUUR,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 141 HELMUT LARKA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 142 ALEKSANDR SALTÕKOV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 143 INGE KÄÄPA,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 144 MATI MÄNNISALU,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 145 ANNE LASSIKOV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 146 RAIM SARV,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 147 VEERA PUTAN,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 148 JURA TINER,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 149 VIKTOR ERT,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 150 AARE OBJARTEL,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 151 HEIKI JOHANNES,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 152 HEIKI LUTS,Eesti Keskerakond
Narva-Jõesuu linn,Ida-Viru maakond,nr 153 TATJANA PAGAJEVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 154 JULIA OSSIPOVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 155 ALEKSEI FURMINSKI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 156 TATJANA ANISSIMOVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 157 RAIVO VOLOŠTŠUK,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 158 ALEKSEI SJUTKIN,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 159 IVAN POLJAKOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 161 KALLE KEKKI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 162 IGOR MOŠKOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 163 NATALJA PETROVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 164 ALEKSEI VNUKOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 165 NELLI SAMELI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 166 LEO KUUSEMÄE,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 167 LIINA PIIRISALU,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 168 KAIDO SEPPAR,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 169 ANDREI PALMBERG,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 170 ÜLLE SAHAROV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 171 JURI BARANOV,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 172 SERGEI SUPONENKO,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 173 NADEŽDA PETROVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 174 TIIT JÕGI,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 175 OLGA PAGAJEVA,Valimisliit Üheskoos edasi
Narva-Jõesuu linn,Ida-Viru maakond,nr 176 MAKSIM ILJIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 177 INGE MUŠKINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 178 NATALJA MJATŠINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 179 OLGA BARANOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 180 JEVGENI HOHLOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 181 SVETLANA MOISSEJEVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 182 ELVIIRA ALJOŠINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 183 ANDRANIK DANIELJAN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 184 REIN PEIKER,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 185 MEELIS KALJURAND,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 186 TIIU TOOM,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 187 LARISSA GOLT,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 188 LJUDMILA RAKOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 189 JOEL GULJAVIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 190 ARTUR EISTRE,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 191 AIME LOGATŠOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 192 ANŽELA VOROBJOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 193 JURI ANDREJEV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 194 JULIA LOŽKINA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 195 JELENA OZORNOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 196 LJUBOV OLKHOVETSKAYA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 197 DMITRI KUZNETSOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 198 VALERI MAASIK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 199 ANDREI IVANOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 200 VADIM KRONK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 201 ANATOLI ILKEVITŠ,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 202 SERGEI RÕMAR,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 203 ALEKSANDR ALEKSANDRIN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 204 ALINA SOZONOVA,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 205 KONSTANTIN PETROV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 206 JULIA FORSTIMAN,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 207 GRIGORI USSOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 208 OLGA BATLUK,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 209 DMITRI MAKAROV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 210 ALEKSANDR MELNIKOV,Ühine kodu valimisliit
Narva-Jõesuu linn,Ida-Viru maakond,nr 211 SERGEI MIŠTŠUK,Üksikkandidaadid
Narva-Jõesuu linn,Ida-Viru maakond,nr 212 SVEN UDAM,Üksikkandidaadid
