kogudus,asukoht_nimi,asukoht,praostkond,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,tulud_kokku,liikmeannetused,korjandused,ametitalitused,avaliku_sektori_toetused_kokku,tulu_kinnisvarast,valisannetused_ja_toetused_kokku,kulud_kokku
Aegviidu Aleksandri Kogudus,Anija vald,vald39,Järva,2017, 135, 19, 1, 4, 0, 0, 0, 10, 42,10 358 €,1 820, 312, 80, 690, 0,7 456,10 473 €
Aegviidu Aleksandri Kogudus,Anija vald,vald39,Järva,2018, 125, 21, 2, 7, 1, 0, 0, 6, 44,8 651 €,1 825, 581, 270, 700, 0,4 825,9 845 €
Aegviidu Aleksandri Kogudus,Anija vald,vald39,Järva,2019, 116, 19, 2, 9, 0, 0, 0, 5, 41,5 588 €,1 750, 408, 180, 700, 0,1 750,9 821 €
Aegviidu Aleksandri Kogudus,Anija vald,vald39,Järva,2020, 131, 12, 1, 1, 0, 0, 0, 0, 38,7 090 €,2 045, 490, 120,1 735, 0,2 400,7 356 €
Äksi Andrease Kogudus,Tartu vald,vald70,Tartu,2017, 250, 18, 13, 8, 1, 0, 0, 70, 50,33 598 €,2 901,2 556,1 015,5 674,4 556,16 704,31 039 €
Äksi Andrease Kogudus,Tartu vald,vald70,Tartu,2018, 350, 19, 2, 6, 0, 0, 0, 18, 42,50 181 €,4 464,1 801, 410,5 639,18 442,18 758,41 343 €
Äksi Andrease Kogudus,Tartu vald,vald70,Tartu,2019, 300, 19, 1, 9, 0, 0, 0, 20, 37,47 370 €,3 769,1 583, 450,6 599,14 681,19 508,57 368 €
Äksi Andrease Kogudus,Tartu vald,vald70,Tartu,2020, 300, 14, 14, 11, 1, 0, 2, 12, 51,56 798 €,5 205,1 290, 900,18 572,8 410,21 458,55 362 €
Alatskivi Kogudus,Peipsiääre vald,vald76,Tartu,2017, 300, 8, 0, 7, 0, 0, 0, 0, 30,4 333 €,1 772, 931, 510, 500, 421, 0,4 440 €
Alatskivi Kogudus,Peipsiääre vald,vald76,Tartu,2018, 300, 7, 0, 6, 0, 0, 0, 0, 33,5 210 €,2 131,1 195, 430, 800, 454, 0,4 803 €
Alatskivi Kogudus,Peipsiääre vald,vald76,Tartu,2019, 300, 7, 0, 6, 0, 0, 0, 0, 31,8 523 €,2 362,1 528, 420,1 800,2 164, 0,7 788 €
Alatskivi Kogudus,Peipsiääre vald,vald76,Tartu,2020, 300, 5, 0, 6, 0, 0, 0, 0, 27,7 080 €,2 250, 985, 395,2 055,1 145, 0,6 229 €
Ambla Maarja Kogudus,Järva vald,vald24,Järva,2017, 740, 20, 2, 17, 1, 1, 0, 6, 179,34 155 €,6 178, 70, 743,13 984,6 075,4 518,31 698 €
Ambla Maarja Kogudus,Järva vald,vald24,Järva,2018, 700, 19, 4, 24, 1, 0, 0, 6, 165,37 033 €,7 885, 100, 950,13 476,5 554,2 364,42 523 €
Ambla Maarja Kogudus,Järva vald,vald24,Järva,2019, 690, 18, 9, 15, 1, 0, 0, 5, 168,35 296 €,9 176, 981, 920,11 550,5 972,1 294,34 838 €
Ambla Maarja Kogudus,Järva vald,vald24,Järva,2020, 670, 14, 2, 13, 1, 0, 0, 0, 157,50 909 €,8 718, 339,1 527,20 903,6 475,1 386,47 178 €
Anna Kogudus,Paide linn,vald23,Järva,2017, 150, 19, 1, 3, 0, 0, 0, 0, 45,38 236 €,3 210, 716, 20,8 678,2 346, 0,71 877 €
Anna Kogudus,Paide linn,vald23,Järva,2018, 150, 13, 0, 8, 0, 0, 0, 0, 51,18 250 €,3 836,1 214, 730,10 728, 215, 0,15 834 €
Anna Kogudus,Paide linn,vald23,Järva,2019, 100, 20, 8, 4, 0, 0, 0, 0, 59,27 962 €,4 384, 958, 210,16 581,4 250, 0,25 646 €
Anna Kogudus,Paide linn,vald23,Järva,2020, 150, 10, 0, 3, 0, 0, 0, 0, 50,27 264 €,4 834, 341, 100,17 300,3 768, 0,18 156 €
Anseküla Maarja Kogudus,Saaremaa vald,vald56,Saarte,2017, 124, 8, 1, 1, 0, 0, 0, 0, 22,2 547 €, 946, 425, 206, 100, 440, 0,4 078 €
Anseküla Maarja Kogudus,Saaremaa vald,vald56,Saarte,2018, 131, 12, 3, 2, 0, 0, 0, 0, 33,3 687 €,1 198, 408, 275,1 000, 120, 0,4 123 €
Anseküla Maarja Kogudus,Saaremaa vald,vald56,Saarte,2019, 131, 15, 2, 1, 0, 0, 0, 0, 25,12 536 €,1 216,1 010, 442,1 000,1 021,2 874,4 994 €
Anseküla Maarja Kogudus,Saaremaa vald,vald56,Saarte,2020, 131, 10, 2, 2, 0, 0, 0, 0, 24,4 497 €, 918, 390, 283,1 596, 800, 0,8 930 €
Audru Püha Risti Kogudus,Pärnu linn,vald57,Pärnu,2017, 237, 19, 6, 11, 1, 1, 0, 18, 70,9 869 €,4 113,1 717,1 020, 0,1 161,1 680,10 939 €
Audru Püha Risti Kogudus,Pärnu linn,vald57,Pärnu,2018, 256, 24, 17, 10, 2, 2, 0, 0, 65,15 374 €,3 875,2 001,1 045, 0,2 000,4 656,13 941 €
Audru Püha Risti Kogudus,Pärnu linn,vald57,Pärnu,2019, 260, 19, 5, 3, 0, 0, 0, 0, 56,18 254 €,3 595,1 763, 260,7 176,2 000,3 059,17 691 €
Audru Püha Risti Kogudus,Pärnu linn,vald57,Pärnu,2020, 250, 10, 0, 7, 2, 0, 0, 0, 52,101 839 €,3 380,1 519, 955,87 977,2 628,3 151,109 618 €
Avinurme Kogudus,Mustvee vald,vald66,Tartu,2017, 390, 24, 5, 13, 1, 0, 0, 0, 173,27 638 €,3 835,1 341, 720,2 000, 0,17 219,31 792 €
Avinurme Kogudus,Mustvee vald,vald66,Tartu,2018, 380, 23, 7, 22, 0, 0, 0, 0, 168,35 539 €,4 306,5 067, 585,7 000, 0,16 044,39 082 €
Avinurme Kogudus,Mustvee vald,vald66,Tartu,2019, 370, 19, 0, 10, 1, 0, 0, 0, 171,31 858 €,4 345,5 099, 398, 0, 0,21 736,31 124 €
Avinurme Kogudus,Mustvee vald,vald66,Tartu,2020, 400, 12, 0, 12, 0, 0, 0, 0, 110,29 061 €,3 590,7 222, 572, 300, 0,12 457,33 129 €
Elva Kogudus,Elva vald,vald14,Valga,2017, 182, 15, 3, 19, 2, 1, 0, 22, 71,7 608 €,3 323,2 185,1 400, 0, 0, 600,6 181 €
Elva Kogudus,Elva vald,vald14,Valga,2018, 179, 15, 2, 13, 0, 0, 0, 12, 61,8 347 €,3 179,2 528,1 250, 0, 0,1 208,7 617 €
Elva Kogudus,Elva vald,vald14,Valga,2019, 166, 14, 3, 13, 0, 0, 0, 11, 60,7 992 €,3 568,2 187, 975, 0, 43,1 100,7 862 €
Elva Kogudus,Elva vald,vald14,Valga,2020, 160, 14, 3, 12, 0, 0, 0, 8, 57,12 353 €,3 678,2 437,1 270, 800,2 000, 935,11 147 €
Emmaste Immanueli Kogudus,Hiiumaa vald,vald46,Saarte,2017, 150, 16, 0, 8, 0, 0, 0, 13, 37,4 882 €,1 537, 948,1 188, 0, 0, 199,5 866 €
Emmaste Immanueli Kogudus,Hiiumaa vald,vald46,Saarte,2018, 150, 15, 1, 5, 0, 0, 0, 13, 35,9 212 €,1 513, 583, 540,5 000, 0, 546,4 719 €
Emmaste Immanueli Kogudus,Hiiumaa vald,vald46,Saarte,2019, 150, 12, 0, 6, 0, 0, 0, 28, 38,5 761 €,2 034,1 501, 830, 500, 0, 592,11 113 €
Emmaste Immanueli Kogudus,Hiiumaa vald,vald46,Saarte,2020, 150, 10, 2, 5, 1, 1, 0, 8, 34,5 454 €,1 663, 310,1 120,2 060, 0, 180,5 124 €
Häädemeeste Miikaeli Kogudus,Häädemeeste vald,vald11,Pärnu,2017, 308, 8, 5, 5, 1, 0, 0, 0, 69,8 394 €,3 359,1 258, 160,1 000,1 057, 666,12 930 €
Häädemeeste Miikaeli Kogudus,Häädemeeste vald,vald11,Pärnu,2018, 304, 8, 1, 5, 1, 0, 0, 0, 68,29 975 €,3 184, 968, 300, 100,1 040,23 265,13 005 €
Häädemeeste Miikaeli Kogudus,Häädemeeste vald,vald11,Pärnu,2019, 299, 7, 1, 5, 1, 0, 0, 0, 67,6 610 €,3 022, 928, 290, 0,1 144, 99,13 437 €
Häädemeeste Miikaeli Kogudus,Häädemeeste vald,vald11,Pärnu,2020, 300, 4, 0, 8, 0, 0, 0, 0, 46,11 083 €,2 920, 339, 190,5 304,1 990, 170,9 352 €
Haapsalu Püha Johannese Kogudus,Haapsalu linn,vald53,Lääne,2017,2 600, 60, 20, 11, 4, 3, 8, 25, 240,49 721 €,18 349,7 962,3 398,1 200,1 870,1 940,50 512 €
Haapsalu Püha Johannese Kogudus,Haapsalu linn,vald53,Lääne,2018,2 500, 55, 8, 13, 6, 4, 8, 20, 230,49 830 €,17 935,9 292,3 894,2 440,2 205,1 924,49 789 €
Haapsalu Püha Johannese Kogudus,Haapsalu linn,vald53,Lääne,2019,2 500, 55, 27, 19, 3, 2, 8, 20, 210,72 514 €,19 321,16 026,5 987,20 550,2 989,1 500,69 199 €
Haapsalu Püha Johannese Kogudus,Haapsalu linn,vald53,Lääne,2020,2 600, 40, 10, 19, 1, 1, 3, 18, 195,103 415 €,21 958,15 340,4 228,1 934,39 367,1 390,75 237 €
Hageri Lambertuse Kogudus,Kohila vald,vald30,Lääne-Harju,2017,2 819, 60, 28, 36, 9, 8, 0, 18, 520,98 606 €,27 240,11 926,5 855,13 900,7 817,15 611,90 365 €
Hageri Lambertuse Kogudus,Kohila vald,vald30,Lääne-Harju,2018,2 833, 70, 25, 42, 6, 6, 0, 25, 492,120 499 €,27 884,12 025,5 262,32 720,16 957,13 693,87 343 €
Hageri Lambertuse Kogudus,Kohila vald,vald30,Lääne-Harju,2019,2 846, 70, 14, 36, 8, 4, 15, 25, 488,181 581 €,27 260,12 919,4 663,100 339,13 836,10 481,231 560 €
Hageri Lambertuse Kogudus,Kohila vald,vald30,Lääne-Harju,2020,2 854, 40, 19, 30, 1, 0, 12, 23, 488,128 877 €,27 548,12 049,5 111,40 898,8 165,7 954,116 228 €
Haljala Püha Mauritiuse Kogudus,Haljala vald,vald8,Viru,2017, 300, 9, 4, 6, 0, 0, 0, 11, 71,54 263 €,5 062, 232, 0,1 000,1 000,15 630,37 222 €
Haljala Püha Mauritiuse Kogudus,Haljala vald,vald8,Viru,2018, 300, 8, 1, 4, 0, 0, 12, 35, 69,86 447 €,2 962, 472, 0,3 300, 836,73 260,104 199 €
Haljala Püha Mauritiuse Kogudus,Haljala vald,vald8,Viru,2019, 300, 11, 4, 1, 0, 0, 0, 0, 30,96 201 €,3 226,2 152, 600,35 768,1 200,50 600,95 042 €
Haljala Püha Mauritiuse Kogudus,Haljala vald,vald8,Viru,2020, 300, 11, 15, 2, 2, 2, 0, 0, 31,297 445 €,3 843,3 110,1 140,100 107,1 200,174 469,241 796 €
Halliste Püha Anna Kogudus,Mulgi vald,vald20,Viljandi,2017, 335, 19, 2, 3, 4, 4, 0, 0, 52,16 176 €,3 389,4 046, 850, 200,1 736,5 953,8 656 €
Halliste Püha Anna Kogudus,Mulgi vald,vald20,Viljandi,2018, 331, 18, 2, 5, 1, 1, 0, 0, 48,15 958 €,3 759,1 653, 700,4 090,1 666,3 750,11 995 €
Halliste Püha Anna Kogudus,Mulgi vald,vald20,Viljandi,2019, 325, 16, 0, 0, 2, 2, 0, 0, 44,15 958 €,3 759,1 653, 700,4 090,1 666,3 750,11 995 €
Halliste Püha Anna Kogudus,Mulgi vald,vald20,Viljandi,2020, 320, 6, 0, 1, 1, 1, 0, 0, 44,16 555 €,3 958,1 324, 300,2 000,1 666,4 295,22 981 €
Hanila Pauluse Kogudus,Lääneranna vald,vald48,Lääne,2017, 90, 7, 0, 2, 0, 0, 0, 0, 20,4 373 €, 962, 100, 105, 0,3 026, 0,4 871 €
Hanila Pauluse Kogudus,Lääneranna vald,vald48,Lääne,2018, 90, 9, 0, 0, 0, 0, 0, 0, 16,10 082 €,1 152, 55, 0, 0,3 673, 0,10 760 €
Hanila Pauluse Kogudus,Lääneranna vald,vald48,Lääne,2019, 90, 8, 0, 0, 0, 0, 0, 0, 14,13 100 €, 718, 0, 0, 500,11 504, 0,3 838 €
Hanila Pauluse Kogudus,Lääneranna vald,vald48,Lääne,2020, 90, 6, 0, 6, 0, 0, 0, 0, 18,4 302 €,1 169, 0, 600, 0,1 683, 0,3 542 €
Hargla Kogudus,Valga vald,vald2,Valga,2017, 230, 11, 0, 17, 0, 1, 18, 0, 48,55 877 €,1 450,1 181, 0,28 000,21 577, 300,39 295 €
Hargla Kogudus,Valga vald,vald2,Valga,2018, 230, 9, 0, 7, 0, 0, 15, 1, 49,22 511 €,1 470, 596, 0,4 939, 767, 600,22 052 €
Hargla Kogudus,Valga vald,vald2,Valga,2019, 230, 9, 1, 9, 0, 0, 9, 0, 52,19 699 €,1 645,1 743, 0,13 400, 844, 656,20 531 €
Hargla Kogudus,Valga vald,vald2,Valga,2020, 200, 7, 2, 3, 0, 0, 0, 0, 38,19 191 €,1 605, 814, 0,14 343, 844, 500,11 804 €
Harju-Jaani Ristija Johannese Kogudus,Raasiku vald,vald37,Ida-Harju,2017,1 600, 14, 4, 21, 1, 0, 0, 5, 130,20 774 €,8 407,6 021,1 184,2 890,2 042, 0,21 367 €
Harju-Jaani Ristija Johannese Kogudus,Raasiku vald,vald37,Ida-Harju,2018,1 580, 15, 5, 24, 1, 1, 0, 5, 121,33 332 €,10 069,1 566, 725,6 100,2 101, 0,19 033 €
Harju-Jaani Ristija Johannese Kogudus,Raasiku vald,vald37,Ida-Harju,2019,1 378, 19, 3, 32, 1, 1, 0, 3, 116,26 557 €,13 735,4 300,1 880,3 550, 50, 0,17 480 €
Harju-Jaani Ristija Johannese Kogudus,Raasiku vald,vald37,Ida-Harju,2020,1 500, 16, 5, 11, 0, 0, 0, 0, 106,24 326 €,10 893,3 945, 740, 0,4 879, 0,18 675 €
Harju-Madise Kogudus,Lääne-Harju vald,vald55,Lääne-Harju,2017, 572, 21, 9, 10, 4, 4, 0, 0, 184,32 323 €,7 143,4 723,1 370,9 000, 328,5 940,24 273 €
Harju-Madise Kogudus,Lääne-Harju vald,vald55,Lääne-Harju,2018, 573, 19, 2, 5, 6, 5, 0, 0, 149,19 160 €,5 858,4 159,1 315, 0, 0,6 736,23 452 €
Harju-Madise Kogudus,Lääne-Harju vald,vald55,Lääne-Harju,2019, 579, 19, 11, 8, 1, 0, 0, 3, 175,21 882 €,7 267,2 973, 710, 0,1 712,6 114,23 118 €
Harju-Madise Kogudus,Lääne-Harju vald,vald55,Lääne-Harju,2020, 593, 7, 11, 3, 0, 0, 1, 3, 181,33 487 €,7 882,2 242, 390,3 430,3 946,9 494,46 307 €
Harkujärve Kogudus,Harku vald,vald34,Tallinna,2018, 42, 17, 8, 0, 0, 0, 0, 60, 20,3 106 €,1 146,1 060, 100, 0, 0, 0, 294 €
Harkujärve Kogudus,Harku vald,vald34,Tallinna,2019, 48, 16, 2, 3, 4, 0, 0, 40, 26,8 888 €,1 961,2 243, 150, 0, 0, 210,4 161 €
Harkujärve Kogudus,Harku vald,vald34,Tallinna,2020, 54, 18, 4, 5, 2, 0, 0, 20, 40,19 933 €,4 734,2 264, 420,2 494,1 530,1 090,-12 440 €
Helme Maarja Kogudus,Tõrva vald,vald1,Viljandi,2017,4 350, 27, 6, 55, 1, 1, 6, 100, 401,31 612 €,7 792,6 720,3 880, 568,4 458,3 014,29 147 €
Helme Maarja Kogudus,Tõrva vald,vald1,Viljandi,2018,4 330, 24, 15, 47, 0, 0, 8, 110, 365,32 826 €,7 283,8 192,4 150,4 409,4 336,3 252,34 580 €
Helme Maarja Kogudus,Tõrva vald,vald1,Viljandi,2019,4 320, 25, 11, 52, 1, 0, 83, 115, 345,35 029 €,6 152,6 484,4 610,9 930,5 318,1 685,33 781 €
Helme Maarja Kogudus,Tõrva vald,vald1,Viljandi,2020,4 300, 10, 2, 54, 1, 1, 0, 6, 330,40 791 €,7 167,5 782,4 625,14 830,4 361,3 293,38 711 €
Iisaku Kogudus,Alutaguse vald,vald74,Viru,2017, 530, 26, 2, 8, 4, 0, 0, 0, 110,100 977 €,3 927,1 760, 135,61 000,3 200, 295,86 095 €
Iisaku Kogudus,Alutaguse vald,vald74,Viru,2018, 520, 32, 3, 13, 1, 0, 0, 0, 100,97 946 €,3 630,2 176, 0,60 864, 780,1 330,96 430 €
Iisaku Kogudus,Alutaguse vald,vald74,Viru,2019, 520, 27, 3, 8, 1, 0, 0, 0, 102,14 187 €,4 400,4 788, 0,1 000, 780, 320,10 262 €
Iisaku Kogudus,Alutaguse vald,vald74,Viru,2020, 510, 15, 2, 8, 1, 0, 0, 0, 96,11 831 €,4 600,2 546,-,1 000,3 266, 315,14 477 €
Illuka Kogudus,Alutaguse vald,vald74,Viru,2017, 200, 15, 1, 5, 0, 0, 0, 0, 42,6 087 €, 755,1 352, 0,3 750, 0, 230,7 904 €
Illuka Kogudus,Alutaguse vald,vald74,Viru,2018, 120, 10, 0, 5, 0, 0, 0, 0, 42,2 092 €,1 020, 832, 0, 0, 0, 240,1 942 €
Illuka Kogudus,Alutaguse vald,vald74,Viru,2019, 120, 12, 0, 2, 0, 0, 0, 0, 38,2 886 €,1 045, 584, 0,1 000, 0, 257,2 738 €
Illuka Kogudus,Alutaguse vald,vald74,Viru,2020, 120, 7, 1, 6, 0, 0, 0, 0, 35,2 865 €,1 040, 570, 0,1 000, 0, 0,2 646 €
Ilumäe Kogudus,Haljala vald,vald8,Viru,2017, 59, 12, 2, 5, 2, 0, 0, 0, 27,18 357 €,2 604, 826, 370,4 400, 0, 220,11 707 €
Ilumäe Kogudus,Haljala vald,vald8,Viru,2018, 58, 11, 0, 2, 0, 0, 0, 0, 28,27 703 €,2 630,1 526, 250,8 400, 0, 225,28 103 €
Ilumäe Kogudus,Haljala vald,vald8,Viru,2019, 90, 16, 1, 4, 0, 0, 0, 0, 30,17 356 €,2 635,1 533, 0,10 291, 0, 500,15 007 €
Ilumäe Kogudus,Haljala vald,vald8,Viru,2020, 60, 12, 1, 0, 1, 0, 0, 0, 25,29 114 €,2 900, 276, 500,19 188, 105,1 175,25 810 €
Jämaja Kolmainu Kogudus,Saaremaa vald,vald56,Saarte,2017, 312, 25, 7, 8, 1, 1, 13, 24, 136,7 132 €,2 675, 716, 920, 0, 900,1 051,7 436 €
Jämaja Kolmainu Kogudus,Saaremaa vald,vald56,Saarte,2018, 314, 21, 4, 2, 1, 0, 0, 10, 134,21 931 €,2 675, 711, 662,6 200, 830,5 703,17 008 €
Jämaja Kolmainu Kogudus,Saaremaa vald,vald56,Saarte,2019, 316, 22, 9, 6, 0, 0, 0, 12, 120,18 875 €,2 745,1 177, 906,2 980, 880,4 082,13 973 €
Jämaja Kolmainu Kogudus,Saaremaa vald,vald56,Saarte,2020, 313, 13, 1, 4, 2, 0, 0, 0, 115,14 615 €,2 970, 959, 991,6 655, 830,1 502,14 331 €
Järva-Jaani Ristija Johannese Kogudus,Järva vald,vald24,Järva,2017, 462, 27, 6, 16, 0, 0, 27, 10, 161,113 388 €,6 332,3 814,2 855,3 100,12 264,4 879,112 901 €
Järva-Jaani Ristija Johannese Kogudus,Järva vald,vald24,Järva,2018, 456, 25, 10, 16, 1, 1, 30, 13, 157,76 028 €,6 096,3 717,2 790,3 100,12 394,6 850,77 339 €
Järva-Jaani Ristija Johannese Kogudus,Järva vald,vald24,Järva,2019, 447, 26, 5, 14, 3, 2, 25, 10, 159,71 561 €,6 800,4 488,3 484,7 822,11 394,7 073,70 921 €
Järva-Jaani Ristija Johannese Kogudus,Järva vald,vald24,Järva,2020, 449, 11, 16, 14, 0, 0, 11, 8, 159,79 316 €,6 818,5 138,3 340,33 597,12 685,7 380,70 666 €
Järvakandi Pauluse Kogudus,Kehtna vald,vald63,Lääne-Harju,2017, 80, 22, 0, 5, 0, 0, 0, 0, 29,6 952 €,1 150, 961, 220, 200, 0,3 776,10 245 €
Järvakandi Pauluse Kogudus,Kehtna vald,vald63,Lääne-Harju,2018, 80, 22, 0, 3, 0, 0, 0, 0, 28,5 826 €,1 330, 851, 100, 150, 0,3 040,5 276 €
Järvakandi Pauluse Kogudus,Kehtna vald,vald63,Lääne-Harju,2019, 78, 24, 0, 2, 0, 0, 0, 0, 28,10 917 €,1 235,1 026, 500, 150, 0,3 396,9 341 €
Järvakandi Pauluse Kogudus,Kehtna vald,vald63,Lääne-Harju,2020, 78, 16, 0, 3, 0, 0, 0, 0, 29,7 999 €, 908,1 181, 190, 820, 0,4 000,7 927 €
Järva-Madise Püha Matteuse Kogudus,Järva vald,vald24,Järva,2017, 170, 26, 4, 14, 0, 0, 0, 0, 106,29 179 €,3 522,1 670,1 570,8 827,5 644, 88,27 514 €
Järva-Madise Püha Matteuse Kogudus,Järva vald,vald24,Järva,2018, 170, 26, 4, 19, 0, 0, 0, 0, 107,31 420 €,2 982, 825,3 585,12 200, 0, 400,30 850 €
Järva-Madise Püha Matteuse Kogudus,Järva vald,vald24,Järva,2019, 105, 13, 0, 19, 0, 0, 0, 0, 47,25 981 €,2 284, 951,2 620,11 000,7 544, 145,27 484 €
Järva-Madise Püha Matteuse Kogudus,Järva vald,vald24,Järva,2020, 200, 12, 2, 9, 1, 0, 0, 0, 56,22 717 €,2 714,1 240, 510,11 000,6 062, 0,18 660 €
Järva-Peetri Püha Peetruse Kogudus,Järva vald,vald24,Järva,2017, 170, 16, 0, 9, 0, 0, 0, 2, 43,16 110 €,3 066, 735, 280,1 300, 50, 0,21 238 €
Järva-Peetri Püha Peetruse Kogudus,Järva vald,vald24,Järva,2018, 170, 16, 0, 9, 0, 0, 0, 3, 47,39 722 €,3 629,1 113, 320,17 800, 40, 0,37 829 €
Järva-Peetri Püha Peetruse Kogudus,Järva vald,vald24,Järva,2019, 170, 16, 2, 5, 0, 0, 0, 0, 41,23 967 €,3 045, 674, 390,6 700, 0, 0,24 651 €
Järva-Peetri Püha Peetruse Kogudus,Järva vald,vald24,Järva,2020, 170, 7, 0, 4, 0, 0, 0, 0, 45,71 050 €,3 366, 490, 280,49 958, 0, 0,57 895 €
Jõelähtme Püha Neitsi Maarja Kogudus,Jõelähtme vald,vald44,Ida-Harju,2017, 800, 20, 6, 17, 1, 0, 0, 0, 119,126 583 €,8 922,13 505,2 830,12 975,3 087, 176,135 440 €
Jõelähtme Püha Neitsi Maarja Kogudus,Jõelähtme vald,vald44,Ida-Harju,2018, 800, 18, 5, 37, 1, 1, 0, 0, 115,114 562 €,9 295,9 609,2 897,10 000,3 325, 268,88 835 €
Jõelähtme Püha Neitsi Maarja Kogudus,Jõelähtme vald,vald44,Ida-Harju,2019, 800, 17, 9, 21, 2, 1, 0, 0, 121,40 708 €,9 904,11 288,4 128,10 000,3 065, 318,41 739 €
Jõelähtme Püha Neitsi Maarja Kogudus,Jõelähtme vald,vald44,Ida-Harju,2020, 800, 8, 7, 14, 1, 1, 0, 0, 120,40 167 €,12 408,1 705,1 274,12 465,2 920, 271,71 337 €
Jõgeva Kogudus,Jõgeva vald,vald68,Tartu,2017, 300, 25, 1, 2, 0, 0, 0, 0, 38,13 566 €,2 070, 954, 118, 250, 140,1 687,8 827 €
Jõgeva Kogudus,Jõgeva vald,vald68,Tartu,2018, 300, 22, 0, 2, 0, 0, 0, 0, 35,3 893 €,2 060, 420, 200, 0, 150,1 063,8 230 €
Jõgeva Kogudus,Jõgeva vald,vald68,Tartu,2019, 44, 27, 3, 3, 0, 0, 0, 0, 44,19 745 €,4 705,1 230, 40,4 160, 250,4 425,17 983 €
Jõgeva Kogudus,Jõgeva vald,vald68,Tartu,2020, 170, 24, 1, 0, 0, 0, 0, 0, 55,23 858 €,4 605,3 290, 70,12 085, 550, 868,19 941 €
Jõhvi Mihkli Kogudus,Jõhvi vald,vald75,Viru,2017,2 100, 18, 26, 18, 4, 5, 0, 30, 205,139 835 €,10 539,2 854,1 594, 450,75 557,1 134,140 438 €
Jõhvi Mihkli Kogudus,Jõhvi vald,vald75,Viru,2018,2 090, 17, 7, 23, 1, 1, 0, 64, 201,122 943 €,11 487,2 610,2 230, 450,84 906,1 063,123 791 €
Jõhvi Mihkli Kogudus,Jõhvi vald,vald75,Viru,2019,2 070, 21, 11, 23, 1, 1, 0, 60, 202,154 074 €,8 858,11 842,3 265, 400,108 869,8 840,153 771 €
Jõhvi Mihkli Kogudus,Jõhvi vald,vald75,Viru,2020, 500, 15, 5, 22, 1, 1, 0, 20, 152,144 705 €,9 186, 961,2 205,18 420,91 037, 0,139 656 €
Jüri Kogudus,Rae vald,vald43,Ida-Harju,2017, 800, 38, 29, 19, 4, 0, 0, 14, 276,29 626 €,9 206,2 648,3 200,5 800, 0, 0,48 812 €
Jüri Kogudus,Rae vald,vald43,Ida-Harju,2018, 817, 35, 23, 20, 2, 0, 0, 10, 281,30 183 €,9 564,2 148,2 760,7 300,3 270, 0,55 148 €
Jüri Kogudus,Rae vald,vald43,Ida-Harju,2019, 800, 34, 10, 22, 4, 0, 0, 22, 306,120 210 €,12 966,4 422,3 100,7 300, 0, 0,56 016 €
Jüri Kogudus,Rae vald,vald43,Ida-Harju,2020, 800, 30, 3, 18, 3, 0, 0, 7, 286,44 036 €,12 614,4 453,2 130,18 070,4 950, 0,37 420 €
Juuru Mihkli Kogudus,Rapla vald,vald72,Ida-Harju,2017, 550, 19, 13, 12, 7, 7, 0, 5, 118,29 925 €,7 814,7 315,1 899,2 120,5 406,5 189,61 502 €
Juuru Mihkli Kogudus,Rapla vald,vald72,Ida-Harju,2018, 539, 23, 6, 18, 5, 4, 0, 5, 155,144 063 €,9 987,8 057,3 239,1 900,5 903, 743,148 371 €
