kogudus,asukoht_nimi,asukoht,praostkond,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,tulud_kokku,liikmeannetused,korjandused,ametitalitused,avaliku_sektori_toetused_kokku,tulu_kinnisvarast,valisannetused_ja_toetused_kokku,kulud_kokku
Juuru Mihkli Kogudus,Rapla vald,vald72,Ida-Harju,2019, 523, 26, 9, 16, 1, 1, 0, 0, 159,45 240 €,9 246,8 192,4 735,4 405,5 563, 901,44 513 €
Juuru Mihkli Kogudus,Rapla vald,vald72,Ida-Harju,2020, 527, 14, 5, 7, 0, 0, 0, 3, 142,45 912 €,10 036,3 595,1 650,5 140,12 791,4 500,32 359 €
Kaarma Peeter-Pauli Kogudus,Saaremaa vald,vald56,Saarte,2017, 410, 14, 0, 10, 0, 0, 0, 0, 81,33 904 €,1 091,12 751, 300,19 417, 345, 0,30 565 €
Kaarma Peeter-Pauli Kogudus,Saaremaa vald,vald56,Saarte,2018, 408, 14, 1, 5, 2, 1, 0, 0, 71,76 575 €,3 847,1 769, 70,62 100, 694, 0,80 928 €
Kaarma Peeter-Pauli Kogudus,Saaremaa vald,vald56,Saarte,2019, 409, 17, 1, 4, 1, 1, 0, 0, 75,14 704 €,6 568,1 790, 200,1 700, 330, 0,16 680 €
Kaarma Peeter-Pauli Kogudus,Saaremaa vald,vald56,Saarte,2020, 404, 10, 0, 1, 0, 0, 0, 0, 61,75 524 €,6 955,1 524, 250,61 130, 363, 0,75 915 €
Kadrina Katariina Kogudus,Kadrina vald,vald58,Viru,2017, 300, 17, 8, 7, 1, 0, 12, 16, 84,43 948 €,2 952,1 500, 45,2 000, 562,27 864,47 332 €
Kadrina Katariina Kogudus,Kadrina vald,vald58,Viru,2018, 300, 16, 14, 11, 1, 0, 8, 12, 92,28 371 €,3 851,2 533, 30, 0,4 702, 709,26 250 €
Kadrina Katariina Kogudus,Kadrina vald,vald58,Viru,2019, 300, 13, 11, 10, 0, 0, 6, 8, 88,22 723 €,3 966,2 002, 160,3 600,8 791, 650,20 577 €
Kadrina Katariina Kogudus,Kadrina vald,vald58,Viru,2020, 500, 8, 7, 9, 0, 0, 0, 10, 106,38 747 €,5 619,3 683, 215,12 666,9 417, 632,32 367 €
Käina Martini Kogudus,Hiiumaa vald,vald46,Saarte,2017, 150, 15, 0, 9, 2, 2, 2, 0, 38,16 719 €,1 546,2 411,1 438,2 100,1 771,6 085,18 165 €
Käina Martini Kogudus,Hiiumaa vald,vald46,Saarte,2018, 150, 11, 2, 5, 0, 0, 2, 4, 44,60 164 €,2 179,2 567, 408,4 000,42 884,5 825,34 321 €
Käina Martini Kogudus,Hiiumaa vald,vald46,Saarte,2019, 150, 10, 3, 5, 3, 3, 0, 0, 39,40 714 €,2 102,2 456, 910,2 540,1 845,5 590,33 395 €
Käina Martini Kogudus,Hiiumaa vald,vald46,Saarte,2020, 150, 7, 0, 3, 1, 1, 0, 0, 39,26 088 €,2 570,2 427, 420,11 936,2 916,3 954,31 268 €
Kambja Kogudus,Kambja vald,vald17,Tartu,2017, 650, 36, 19, 24, 4, 4, 0, 0, 124,25 322 €,5 570,6 375,4 855,2 900,5 321, 0,17 342 €
Kambja Kogudus,Kambja vald,vald17,Tartu,2018, 654, 30, 13, 17, 3, 3, 0, 0, 118,37 931 €,4 944,5 929,2 668,4 000,15 176, 0,22 121 €
Kambja Kogudus,Kambja vald,vald17,Tartu,2019, 684, 35, 30, 29, 8, 7, 0, 0, 144,38 567 €,5 222,6 289,7 640,3 500,10 816, 200,21 819 €
Kambja Kogudus,Kambja vald,vald17,Tartu,2020, 728, 24, 31, 25, 6, 6, 0, 0, 148,35 042 €,6 678,4 321,6 081,5 225,9 381, 0,27 988 €
Kanepi Jaani Kogudus,Kanepi vald,vald6,Võru,2017,1 600, 15, 8, 28, 2, 2, 0, 8, 163,12 341 €,4 865,1 835,1 731,1 000, 509, 950,15 672 €
Kanepi Jaani Kogudus,Kanepi vald,vald6,Võru,2018,2 000, 16, 7, 34, 1, 2, 0, 8, 156,31 610 €,5 260,3 178,1 665,19 830, 552,1 125,30 374 €
Kanepi Jaani Kogudus,Kanepi vald,vald6,Võru,2019,1 500, 18, 4, 24, 1, 1, 0, 13, 164,14 627 €,5 905,3 054,1 703,2 112,1 053, 800,20 619 €
Kanepi Jaani Kogudus,Kanepi vald,vald6,Võru,2020,1 800, 13, 5, 24, 0, 0, 0, 4, 183,21 364 €,8 022,2 345,1 366,4 230,1 089, 800,16 287 €
Kärdla Johannese Kogudus,Hiiumaa vald,vald46,Saarte,2017, 350, 15, 5, 19, 0, 0, 0, 4, 68,70 528 €,3 532, 800,2 560, 0,18 290,18 596,51 307 €
Kärdla Johannese Kogudus,Hiiumaa vald,vald46,Saarte,2018, 350, 15, 1, 12, 0, 0, 0, 6, 68,57 111 €,4 419, 521, 668,2 200,16 549,25 460,71 781 €
Kärdla Johannese Kogudus,Hiiumaa vald,vald46,Saarte,2019, 350, 16, 4, 12, 0, 0, 0, 6, 63,49 826 €,4 662, 507, 480, 0,10 773,19 057,54 038 €
Kärdla Johannese Kogudus,Hiiumaa vald,vald46,Saarte,2020, 350, 17, 4, 11, 1, 0, 0, 6, 61,42 702 €,4 776,2 529,1 350,1 425,15 447,10 255,43 161 €
Karja Katariina Kogudus,Saaremaa vald,vald56,Saarte,2017, 140, 17, 5, 1, 1, 0, 0, 60, 42,16 834 €,2 265,5 430, 0,7 500,1 140, 0,21 063 €
Karja Katariina Kogudus,Saaremaa vald,vald56,Saarte,2018, 140, 17, 0, 4, 1, 0, 0, 60, 32,22 349 €,1 564,7 047, 100,1 700,11 140, 0,14 963 €
Karja Katariina Kogudus,Saaremaa vald,vald56,Saarte,2019, 140, 19, 1, 4, 0, 0, 0, 60, 33,46 221 €,1 725,8 853, 65,4 700,29 150, 0,24 575 €
Karja Katariina Kogudus,Saaremaa vald,vald56,Saarte,2020, 150, 12, 6, 11, 0, 0, 0, 0, 35,21 247 €,1 779,2 158, 200,12 486,1 300, 0,36 015 €
Karksi Peetri Kogudus,Mulgi vald,vald20,Viljandi,2017, 46, 18, 4, 3, 0, 0, 0, 0, 46,9 876 €,3 905, 853, 400,1 000,3 718, 0,9 965 €
Karksi Peetri Kogudus,Mulgi vald,vald20,Viljandi,2018, 215, 19, 0, 0, 0, 0, 0, 0, 50,9 225 €,3 344,1 680, 500, 0,2 970, 0,8 915 €
Karksi Peetri Kogudus,Mulgi vald,vald20,Viljandi,2019, 210, 20, 2, 1, 0, 0, 0, 0, 50,12 198 €,4 121,2 751, 0, 350,4 249, 0,10 776 €
Karksi Peetri Kogudus,Mulgi vald,vald20,Viljandi,2020, 292, 17, 5, 2, 0, 0, 0, 0, 45,20 417 €,4 280,1 302, 460,9 195,4 920, 250,16 359 €
Kärla Maarja-Magdaleena Kogudus,Saaremaa vald,vald56,Saarte,2017, 450, 21, 2, 17, 1, 1, 0, 7, 91,30 914 €,2 854, 432,1 920,3 000,3 498, 0,12 794 €
Kärla Maarja-Magdaleena Kogudus,Saaremaa vald,vald56,Saarte,2018, 450, 18, 3, 11, 0, 0, 0, 7, 95,17 435 €,3 654, 695,1 581,6 700,3 729, 0,11 190 €
Kärla Maarja-Magdaleena Kogudus,Saaremaa vald,vald56,Saarte,2019, 450, 16, 2, 12, 0, 0, 0, 17, 92,16 406 €,2 919, 594,1 296,7 200,4 026, 0,25 037 €
Kärla Maarja-Magdaleena Kogudus,Saaremaa vald,vald56,Saarte,2020, 400, 16, 2, 8, 0, 0, 0, 0, 74,17 720 €,4 039, 397, 954,11 943, 0, 0,17 745 €
Käru Kogudus,Türi vald,vald71,Järva,2017, 162, 16, 2, 0, 0, 0, 0, 0, 32,8 003 €,1 004, 650, 545, 500, 0, 0,13 169 €
Käru Kogudus,Türi vald,vald71,Järva,2018, 171, 21, 0, 0, 0, 0, 0, 0, 30,4 957 €, 918, 635, 400,3 000, 0, 0,6 341 €
Käru Kogudus,Türi vald,vald71,Järva,2019, 162, 14, 0, 1, 0, 0, 0, 0, 28,16 898 €, 912, 918, 0,3 264, 0,1 800,23 161 €
Käru Kogudus,Türi vald,vald71,Järva,2020, 163, 13, 2, 3, 1, 0, 0, 0, 29,87 718 €, 906, 881, 129,84 661, 0, 0,95 699 €
Karula Kogudus,Valga vald,vald2,Valga,2017, 490, 25, 20, 25, 1, 0, 11, 3, 105,26 046 €,2 015,2 758,2 032,1 361, 0,6 510,30 506 €
Karula Kogudus,Valga vald,vald2,Valga,2018, 495, 24, 18, 44, 1, 0, 9, 5, 110,62 806 €,3 200,3 405,1 787, 400,36 123,8 170,31 920 €
Karula Kogudus,Valga vald,vald2,Valga,2019, 490, 27, 16, 51, 2, 0, 7, 0, 110,25 368 €,3 300,4 313,2 431, 500,1 000,5 736,37 029 €
Karula Kogudus,Valga vald,vald2,Valga,2020, 480,1 202, 17, 66, 2, 0, 0, 0, 110,41 506 €,2 584,5 630,1 161,19 000,1 913,8 950,44 970 €
Karuse Margareeta Kogudus,Lääneranna vald,vald48,Lääne,2017, 200, 25, 5, 8, 1, 0, 0, 0, 20,8 880 €, 933, 940, 0, 184,1 770, 0,1 956 €
Karuse Margareeta Kogudus,Lääneranna vald,vald48,Lääne,2018, 200, 16, 0, 4, 0, 0, 0, 0, 18,20 450 €, 608, 585, 0, 0,1 698, 0,26 296 €
Karuse Margareeta Kogudus,Lääneranna vald,vald48,Lääne,2019, 200, 12, 0, 1, 0, 0, 0, 0, 15,14 186 €, 774, 850, 100, 500,1 771, 0,12 892 €
Karuse Margareeta Kogudus,Lääneranna vald,vald48,Lääne,2020, 200, 7, 0, 20, 0, 0, 0, 0, 15,4 698 €, 579, 820, 285, 500,1 944, 0,2 126 €
Käsmu Kogudus,Haljala vald,vald8,Viru,2017, 166, 18, 6, 4, 0, 0, 0, 12, 80,16 465 €,6 275,4 722,1 105, 150,1 570, 260,12 857 €
Käsmu Kogudus,Haljala vald,vald8,Viru,2018, 174, 18, 6, 2, 0, 0, 0, 12, 81,19 162 €,7 350,4 092, 715, 0,1 050, 0,15 251 €
Käsmu Kogudus,Haljala vald,vald8,Viru,2019, 187, 17, 12, 2, 1, 1, 0, 7, 87,205 818 €,6 870,3 907,1 020,11 675,1 150,3 304,188 021 €
Käsmu Kogudus,Haljala vald,vald8,Viru,2020, 190, 12, 0, 4, 3, 3, 0, 5, 87,20 399 €,8 124,2 281, 950,7 007,-, 732,24 602 €
Keila Miikaeli Kogudus,Keila linn,vald33,Lääne-Harju,2017,2 860, 75, 26, 31, 6, 3, 5, 44, 401,63 507 €,16 294,9 898,5 305,4 200,3 335,13 406,63 934 €
Keila Miikaeli Kogudus,Keila linn,vald33,Lääne-Harju,2018,2 863, 76, 15, 30, 2, 0, 6, 46, 296,73 735 €,15 626,10 672,5 070,20 628,2 522,10 910,73 401 €
Keila Miikaeli Kogudus,Keila linn,vald33,Lääne-Harju,2019,2 863, 62, 28, 35, 2, 0, 6, 15, 302,57 261 €,15 009,9 610,6 905,9 882,2 803,3 000,56 082 €
Keila Miikaeli Kogudus,Keila linn,vald33,Lääne-Harju,2020,2 879, 36, 26, 29, 4, 0, 4, 10, 309,166 467 €,15 819,9 675,5 720,105 992,1 401,3 000,137 393 €
Kihelkonna Mihkli Kogudus,Saaremaa vald,vald56,Saarte,2017,1 120, 53, 12, 32, 5, 4, 10, 47, 368,94 848 €,12 797,6 697,3 570,13 853, 313,10 221,111 028 €
Kihelkonna Mihkli Kogudus,Saaremaa vald,vald56,Saarte,2018,1 120, 54, 5, 20, 2, 1, 8, 41, 357,98 224 €,14 557,7 701,2 322,13 849, 537,10 915,92 787 €
Kihelkonna Mihkli Kogudus,Saaremaa vald,vald56,Saarte,2019,1 120, 52, 8, 36, 0, 0, 8, 40, 348,81 888 €,15 050,9 036,3 405,5 420, 535,25 729,62 534 €
Kihelkonna Mihkli Kogudus,Saaremaa vald,vald56,Saarte,2020,1 120, 35, 6, 31, 2, 1, 0, 28, 351,375 837 €,15 083,5 610,2 650,319 801, 387,5 720,185 108 €
Kirbla Püha Nikolause Kogudus,Lääneranna vald,vald48,Lääne,2017, 80, 7, 0, 1, 0, 0, 0, 0, 21,7 450 €, 594, 95, 40, 0,2 580,3 832,3 327 €
Kirbla Püha Nikolause Kogudus,Lääneranna vald,vald48,Lääne,2018, 50, 6, 0, 4, 0, 0, 0, 0, 16,8 437 €, 717, 90, 330, 0,4 425,1 673,10 418 €
Kirbla Püha Nikolause Kogudus,Lääneranna vald,vald48,Lääne,2019, 50, 6, 0, 3, 1, 0, 0, 0, 15,12 070 €, 580, 242, 430, 0,4 793,2 902,9 717 €
Kirbla Püha Nikolause Kogudus,Lääneranna vald,vald48,Lääne,2020, 50, 4, 0, 4, 0, 0, 0, 0, 13,9 301 €, 875, 260, 200, 570,5 149,1 715,4 108 €
Kodavere Mihkli Kogudus,Peipsiääre vald,vald76,Tartu,2017, 350, 12, 4, 13, 0, 0, 0, 0, 88,8 959 €,2 964,1 975, 905, 0,1 298, 566,11 816 €
Kodavere Mihkli Kogudus,Peipsiääre vald,vald76,Tartu,2018, 350, 10, 0, 14, 0, 0, 0, 0, 89,10 662 €,2 995,2 723, 950, 600,1 402, 602,11 626 €
Kodavere Mihkli Kogudus,Peipsiääre vald,vald76,Tartu,2019, 350, 11, 1, 12, 0, 0, 0, 0, 90,31 186 €,3 071,2 841, 740, 700,1 516,21 217,12 056 €
Kodavere Mihkli Kogudus,Peipsiääre vald,vald76,Tartu,2020, 350, 7, 0, 9, 0, 0, 0, 0, 82,12 645 €,3 266,2 588, 640,2 610,2 441,-,14 515 €
Koeru Maarja-Magdaleena Kogudus,Järva vald,vald24,Järva,2017, 535, 18, 1, 8, 1, 0, 0, 0, 92,80 905 €,3 439, 866,1 081,11 692,5 819,56 676,34 147 €
Koeru Maarja-Magdaleena Kogudus,Järva vald,vald24,Järva,2018, 540, 18, 6, 8, 1, 1, 0, 3, 88,30 106 €,3 402,1 121, 922,17 208,5 838, 0,52 066 €
Koeru Maarja-Magdaleena Kogudus,Järva vald,vald24,Järva,2019, 550, 15, 5, 5, 0, 0, 0, 0, 80,42 624 €,3 453,1 422, 792,3 000,4 960, 0,56 775 €
Koeru Maarja-Magdaleena Kogudus,Järva vald,vald24,Järva,2020, 550, 10, 0, 5, 0, 0, 0, 0, 65,63 438 €,3 584,2 038, 384,45 520,6 157, 0,64 705 €
Kolga-Jaani Johannese Kogudus,Viljandi vald,vald21,Viljandi,2017, 378, 12, 6, 11, 2, 0, 5, 29, 149,22 748 €,4 867, 803, 438,11 423,4 885, 0,30 377 €
Kolga-Jaani Johannese Kogudus,Viljandi vald,vald21,Viljandi,2018, 350, 11, 1, 4, 1, 0, 3, 32, 145,53 244 €,5 444, 929, 110,1 947,14 006, 375,48 741 €
Kolga-Jaani Johannese Kogudus,Viljandi vald,vald21,Viljandi,2019, 575, 7, 2, 10, 0, 0, 0, 36, 143,13 031 €,5 479, 870, 193,1 981,3 876, 375,19 036 €
Kolga-Jaani Johannese Kogudus,Viljandi vald,vald21,Viljandi,2020, 550, 38, 1, 11, 0, 0, 0, 19, 122,53 277 €,5 888,1 810, 790,31 981,9 688, 370,45 250 €
Kõpu Peetri Kogudus,Põhja-Sakala vald,vald22,Viljandi,2017, 189, 16, 12, 9, 1, 0, 0, 277, 86,31 762 €,4 181, 707,1 550,1 428,2 099,15 081,25 846 €
Kõpu Peetri Kogudus,Põhja-Sakala vald,vald22,Viljandi,2018, 197, 16, 5, 14, 0, 0, 0, 78, 88,68 873 €,4 308,1 143,5 184,14 784,2 262,6 603,77 674 €
Kõpu Peetri Kogudus,Põhja-Sakala vald,vald22,Viljandi,2019, 195, 17, 0, 7, 1, 0, 0, 74, 84,65 742 €,4 109,1 868,2 860,19 494,2 214,5 155,51 552 €
Kõpu Peetri Kogudus,Põhja-Sakala vald,vald22,Viljandi,2020, 191, 8, 5, 8, 1, 0, 0, 16, 81,49 760 €,5 740, 655,2 150,25 422,2 331,5 875,57 486 €
Kose Püha Nikolause Kogudus,Kose vald,vald38,Ida-Harju,2017, 793, 26, 2, 25, 0, 0, 0, 25, 191,72 540 €,10 659,6 720,1 550,2 180,1 398,2 900,113 403 €
Kose Püha Nikolause Kogudus,Kose vald,vald38,Ida-Harju,2018, 685, 24, 12, 30, 2, 2, 0, 45, 194,121 235 €,12 476,4 687,2 337,6 915,1 820,17 866,108 619 €
Kose Püha Nikolause Kogudus,Kose vald,vald38,Ida-Harju,2019, 680, 37, 5, 35, 0, 0, 0, 15, 187,116 300 €,12 753,6 955,2 410,20 781,8 852,3 568,133 232 €
Kose Püha Nikolause Kogudus,Kose vald,vald38,Ida-Harju,2020, 680,1 207, 17, 27, 1, 1, 10, 45, 187,287 613 €,14 552, 900,1 840,193 275,57 089,10 819,219 459 €
Kullamaa Püha Johannese Kogudus,Lääne-Nigula vald,vald52,Lääne,2017, 600, 15, 2, 20, 0, 0, 0, 0, 156,20 151 €,8 099,5 646,2 574,1 000, 180,2 630,23 487 €
Kullamaa Püha Johannese Kogudus,Lääne-Nigula vald,vald52,Lääne,2018, 600, 16, 1, 11, 0, 0, 0, 0, 157,17 531 €,7 748,5 031,1 050,1 000,1 280, 420,18 461 €
Kullamaa Püha Johannese Kogudus,Lääne-Nigula vald,vald52,Lääne,2019, 600, 18, 2, 23, 1, 0, 0, 0, 158,40 131 €,8 861,13 780,3 347,6 430, 180,7 533,30 540 €
Kullamaa Püha Johannese Kogudus,Lääne-Nigula vald,vald52,Lääne,2020, 600, 25, 0, 15, 0, 0, 0, 0, 154,37 639 €,8 635,2 296,2 390,12 465, 730,4 713,39 783 €
Kunda Kolmekuninga Kogudus,Viru-Nigula vald,vald73,Viru,2017, 122, 14, 0, 2, 0, 0, 0, 0, 30,2 574 €, 575, 999, 0,1 000, 0, 0,2 645 €
Kunda Kolmekuninga Kogudus,Viru-Nigula vald,vald73,Viru,2018, 117, 15, 0, 3, 0, 0, 0, 0, 26,2 505 €, 637, 869, 0,1 000, 0, 0,2 833 €
Kunda Kolmekuninga Kogudus,Viru-Nigula vald,vald73,Viru,2019, 121, 17, 0, 2, 0, 0, 0, 0, 26,2 952 €, 672, 780, 0,1 500, 0, 0,2 724 €
Kunda Kolmekuninga Kogudus,Viru-Nigula vald,vald73,Viru,2020, 122, 22, 1, 3, 0, 0, 0, 0, 26,3 457 €, 866, 531, 100,1 960, 0, 0,3 224 €
Kuressaare Laurentiuse Kogudus,Saaremaa vald,vald56,Saarte,2017,3 421, 102, 25, 106, 7, 7, 15, 21, 633,196 805 €,24 224,30 386,15 385,60 500,61 425,3 637,178 727 €
Kuressaare Laurentiuse Kogudus,Saaremaa vald,vald56,Saarte,2018,3 413, 100, 20, 142, 8, 8, 17, 20, 589,243 713 €,22 996,28 262,18 246,107 700,58 894,6 337,185 873 €
Kuressaare Laurentiuse Kogudus,Saaremaa vald,vald56,Saarte,2019,3 409, 90, 17, 129, 8, 7, 15, 16, 591,282 000 €,22 179,32 582,16 545,132 700,63 472,13 650,373 403 €
Kuressaare Laurentiuse Kogudus,Saaremaa vald,vald56,Saarte,2020,3 411, 66, 20, 126, 8, 6, 15, 19, 561,166 397 €,24 068,8 228,17 245,13 911,48 156,21 741,140 315 €
Kursi Maarja-Eliisabeti Kogudus,Põltsamaa vald,vald67,Tartu,2017, 300, 19, 3, 2, 0, 0, 0, 0, 38,7 279 €,1 761,1 162, 250, 800,1 792,1 514,5 282 €
Kursi Maarja-Eliisabeti Kogudus,Põltsamaa vald,vald67,Tartu,2018, 300, 15, 0, 5, 0, 0, 0, 20, 16,12 297 €,1 143,1 892, 350,1 000,2 566,5 346,11 154 €
Kursi Maarja-Eliisabeti Kogudus,Põltsamaa vald,vald67,Tartu,2019, 250, 16, 1, 2, 0, 0, 0, 15, 16,14 626 €,1 400, 871, 300,1 500,2 758,7 797,11 839 €
Kursi Maarja-Eliisabeti Kogudus,Põltsamaa vald,vald67,Tartu,2020, 230, 6, 0, 0, 0, 0, 0, 0, 9,12 002 €, 916, 343, 0,2 085,1 222,7 436,14 187 €
Kuusalu Kogudus,Kuusalu vald,vald41,Ida-Harju,2017,2 000, 30, 2, 62, 0, 0, 2, 12, 254,59 426 €,11 970,1 804,5 410,17 200,7 940, 0,66 303 €
Kuusalu Kogudus,Kuusalu vald,vald41,Ida-Harju,2018,2 000, 30, 10, 68, 2, 2, 10, 5, 250,313 236 €,11 195,1 055,5 290,14 500,257 133, 0,61 942 €
Kuusalu Kogudus,Kuusalu vald,vald41,Ida-Harju,2019,2 000, 27, 4, 71, 1, 1, 5, 5, 230,123 159 €,10 642,2 372,6 485,21 263,7 040, 0,112 889 €
Lääne-Nigula Püha Nikolause Kogudus,Lääne-Nigula vald,vald52,Lääne,2017,1 200, 32, 12, 10, 1, 0, 300, 28, 241,82 947 €,11 053,5 974,1 160,6 747,2 915,41 506,98 299 €
Lääne-Nigula Püha Nikolause Kogudus,Lääne-Nigula vald,vald52,Lääne,2018,1 200, 30, 14, 14, 1, 0, 220, 70, 242,72 408 €,13 740,6 812,2 356,6 650,2 492,32 074,71 584 €
Lääne-Nigula Püha Nikolause Kogudus,Lääne-Nigula vald,vald52,Lääne,2019,1 200, 29, 8, 8, 2, 0, 90, 70, 244,117 118 €,15 803,7 814,1 166,4 500,3 006,26 127,70 984 €
Lääne-Nigula Püha Nikolause Kogudus,Lääne-Nigula vald,vald52,Lääne,2020,1 200, 36, 2, 8, 1, 0, 15, 20, 233,76 600 €,17 270,4 902, 880,18 165,2 155,22 908,75 910 €
Laatre Püha Laurentsiuse Kogudus,Valga vald,vald2,Valga,2017, 70, 14, 0, 10, 0, 0, 2, 2, 48,24 127 €, 908, 609, 180,15 000, 280, 50,24 119 €
Laatre Püha Laurentsiuse Kogudus,Valga vald,vald2,Valga,2018,1 200, 14, 1, 11, 0, 0, 0, 4, 51,23 226 €, 945, 648, 90,15 800, 280, 0,25 907 €
Laatre Püha Laurentsiuse Kogudus,Valga vald,vald2,Valga,2019,1 200, 18, 0, 15, 0, 0, 0, 0, 52,104 522 €, 990, 716, 150,91 251, 0,5 000,68 646 €
Laatre Püha Laurentsiuse Kogudus,Valga vald,vald2,Valga,2020,1 500, 22, 4, 18, 0, 0, 0, 0, 57,110 869 €,1 135, 801, 200,105 951, 280, 0,51 627 €
Laiuse Püha Jüri Kogudus,Jõgeva vald,vald68,Tartu,2017, 160, 8, 11, 8, 0, 0, 0, 0, 34,17 268 €,2 045, 744, 500,2 850,7 839,2 900,14 953 €
Laiuse Püha Jüri Kogudus,Jõgeva vald,vald68,Tartu,2018, 160, 9, 0, 6, 1, 0, 0, 0, 33,23 654 €,2 672, 593, 600,1 800,7 839,2 500,19 366 €
Laiuse Püha Jüri Kogudus,Jõgeva vald,vald68,Tartu,2019, 39, 7, 5, 2, 1, 0, 0, 7, 39,18 316 €,5 278, 79, 0,3 800,7 839, 0,27 148 €
Laiuse Püha Jüri Kogudus,Jõgeva vald,vald68,Tartu,2020, 46, 20, 3, 4, 0, 0, 0, 0, 39,23 550 €,1 130, 0, 0,5 510,11 000,5 000,18 069 €
Leesi Katariina Kogudus,Kuusalu vald,vald41,Ida-Harju,2017, 350, 10, 0, 7, 0, 0, 0, 0, 99,12 449 €,1 389,3 285,1 355,6 300, 0, 0,8 188 €
Leesi Katariina Kogudus,Kuusalu vald,vald41,Ida-Harju,2018, 350, 7, 3, 3, 2, 1, 0, 0, 90,16 597 €,1 247, 430, 805,6 600, 0, 0,15 088 €
Leesi Katariina Kogudus,Kuusalu vald,vald41,Ida-Harju,2019, 350, 7, 0, 4, 0, 0, 0, 0, 90,10 394 €,2 394, 720, 140,2 000, 0, 0,15 185 €
Leesi Katariina Kogudus,Kuusalu vald,vald41,Ida-Harju,2020, 350, 6, 0, 8, 0, 0, 0, 0, 70,13 986 €,1 373,1 738, 0,7 500, 745, 0,26 392 €
Lihula Eliisabeti Kogudus,Lääneranna vald,vald48,Lääne,2017, 750, 9, 0, 7, 0, 0, 0, 0, 27,4 447 €,1 121, 997, 360, 0,1 909, 0,4 575 €
Lihula Eliisabeti Kogudus,Lääneranna vald,vald48,Lääne,2018, 750, 8, 7, 14, 0, 0, 0, 0, 28,4 770 €, 854,1 035, 760, 500,1 406, 200,4 667 €
Lihula Eliisabeti Kogudus,Lääneranna vald,vald48,Lääne,2019, 750, 9, 3, 7, 0, 0, 0, 0, 27,4 820 €,1 014,1 000, 560, 500,1 662, 0,4 805 €
Lihula Eliisabeti Kogudus,Lääneranna vald,vald48,Lääne,2020, 750, 7, 3, 9, 1, 0, 0, 0, 29,9 112 €,1 184, 995, 800, 500,4 853, 0,5 471 €
Lohusuu Kogudus,Mustvee vald,vald66,Tartu,2017, 320, 16, 0, 5, 0, 0, 0, 0, 120,2 559 €,1 355,1 204, 0, 0, 0, 0,2 681 €
Lohusuu Kogudus,Mustvee vald,vald66,Tartu,2020, 320, 8, 2, 3, 0, 0, 0, 10, 99,-,-,-,-,-,-,-,-
Lohusuu Kogudus,Mustvee vald,vald66,Tartu,2018, 320, 18, 1, 4, 0, 0, 0, 10, 115,5 141 €,1 810,1 801, 261, 300, 0, 0,3 432 €
Lohusuu Kogudus,Mustvee vald,vald66,Tartu,2019, 320, 20, 10, 5, 0, 0, 0, 14, 117,5 506 €,1 940, 467, 199, 900, 0, 0,4 824 €
Loksa Püha Neitsi Maarja Kogudus,Loksa linn,vald40,Ida-Harju,2017, 450, 10, 0, 20, 0, 0, 0, 0, 83,22 707 €,1 537,1 985,3 170,13 735, 0, 0,22 313 €
Loksa Püha Neitsi Maarja Kogudus,Loksa linn,vald40,Ida-Harju,2018, 400, 10, 0, 19, 0, 0, 0, 0, 72,22 975 €,1 865,1 475,3 010,13 100, 0, 0,23 895 €
Loksa Püha Neitsi Maarja Kogudus,Loksa linn,vald40,Ida-Harju,2019, 380, 8, 0, 19, 1, 0, 0, 0, 68,30 945 €,1 325,1 940,2 810,16 000, 0, 0,31 681 €
Loksa Püha Neitsi Maarja Kogudus,Loksa linn,vald40,Ida-Harju,2020, 360, 10, 2, 20, 0, 0, 0, 0, 58,29 350 €,1 595,1 490,1 715,19 115, 0, 0,30 089 €
