kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Prangli Laurentsiuse Kogudus,vald398,2018,50,10,0,1,0,0,0,0,12,Ida-Harju,3 644 €, 847 €, 625 €, 0 €,2 100 €, 0 €, 0 €, 720 €
Prangli Laurentsiuse Kogudus,vald399,2019,80,12,5,2,0,0,0,0,10,Ida-Harju,1 826 €, 435 €,1 360 €, 0 €, 0 €, 0 €, 0 €, 356 €
Prangli Laurentsiuse Kogudus,vald400,2020,80,22,1,1,0,0,0,0,9,Ida-Harju,3 521 €, 610 €, 0 €, 25 €,2 840 €, 0 €, 0 €,11 707 €
Püha Jakobi Kogudus,vald401,2017,492,29,6,9,2,1,0,44,216,Saarte,60 550 €,6 015 €,3 025 €,1 665 €,2 850 €,3 567 €,15 660 €,53 214 €
Püha Jakobi Kogudus,vald402,2018,489,24,0,7,3,3,0,49,215,Saarte,72 604 €,7 725 €,2 469 €,1 205 €,7 700 €,4 350 €,18 759 €,86 167 €
Püha Jakobi Kogudus,vald403,2019,490,24,8,5,3,2,2,47,214,Saarte,182 067 €,7 728 €,2 506 €,1 240 €,106 700 €,4 778 €,5 402 €,178 936 €
Püha Jakobi Kogudus,vald404,2020,490,16,5,6,3,2,0,6,209,Saarte,64 784 €,8 753 €,1 751 €,1 540 €,30 400 €,5 923 €,14 754 €,59 846 €
Pühajõe Maarja Kogudus,vald405,2017,161,11,3,1,0,0,0,25,39,Viru,6 027 €,2 009 €,1 393 €, 275 €, 960 €, 0 €,1 390 €,6 337 €
Pühajõe Maarja Kogudus,vald406,2018,157,11,0,0,2,1,0,14,35,Viru,30 859 €,1 820 €,1 209 €, 300 €, 960 €, 250 €,1 240 €,2 915 €
Pühajõe Maarja Kogudus,vald407,2019,156,11,1,1,0,0,0,19,34,Viru,57 423 €,2 262 €,4 000 €, 275 €,11 000 €, 180 €,1 468 €,79 313 €
Pühajõe Maarja Kogudus,vald408,2020,200,9,1,2,1,0,0,12,29,Viru,6 258 €,2 268 €, 930 €, 155 €, 910 €, 560 €,1 435 €,9 597 €
Pühalepa Laurentsiuse Kogudus,vald409,2017,150,13,1,3,2,2,0,0,17,Saarte,6 863 €,1 222 €,1 524 €, 598 €,1 500 €,1 025 €, 594 €,6 740 €
Pühalepa Laurentsiuse Kogudus,vald410,2018,150,13,2,3,1,1,0,0,17,Saarte,7 023 €,1 282 €,1 668 €, 630 €,1 150 €,1 531 €, 237 €,4 828 €
Pühalepa Laurentsiuse Kogudus,vald411,2019,150,11,0,1,0,0,0,0,19,Saarte,13 034 €,1 192 €,1 404 €, 300 €,8 250 €,1 110 €, 276 €,11 633 €
Pühalepa Laurentsiuse Kogudus,vald412,2020,150,7,0,2,1,1,0,0,18,Saarte,5 179 €,1 134 €, 891 €, 570 €,1 369 €, 880 €, 0 €,5 156 €
Puhja Kogudus,vald413,2017,240,16,2,6,0,0,0,29,51,Valga,20 726 €,2 283 €,3 098 €, 0 €,1 670 €, 0 €,7 822 €,18 412 €
Puhja Kogudus,vald414,2018,230,16,1,4,2,2,0,20,50,Valga,40 007 €,2 864 €,2 439 €, 0 €,2 464 €, 0 €,5 458 €,40 959 €
Puhja Kogudus,vald415,2019,240,15,8,6,1,1,0,37,57,Valga,130 961 €,4 093 €,7 932 €, 0 €,47 036 €, 0 €,4 127 €,123 625 €
Puhja Kogudus,vald416,2020,269,9.7,10,5,1,1,0,33,60,Valga,254 261 €,3 790 €,6 598 €, 0 €,228 528 €, 0 €,3 940 €,255 785 €
Rakvere Kolmainu Kogudus,vald417,2017,993,64,24,21,6,6,0,12,211,Viru,99 143 €,19 758 €,6 679 €,4 045 €,2 800 €,23 034 €,1 250 €,113 287 €
Rakvere Kolmainu Kogudus,vald418,2018,1074,51,10,15,9,5,0,11,200,Viru,102 794 €,20 983 €,11 129 €,2 845 €,15 000 €,24 370 €, 0 €,120 752 €
Rakvere Kolmainu Kogudus,vald419,2019,1048,59,36,22,2,2,0,8,214,Viru,169 883 €,19 315 €,8 189 €,4 340 €,42 219 €,17 197 €,1 600 €,163 229 €
Rakvere Kolmainu Kogudus,vald420,2020,1082,40,23,14,7,6,0,12,216,Viru,373 675 €,21 996 €,8 507 €,4 275 €,263 724 €,18 633 €, 0 €,441 499 €
Randvere Kogudus,vald421,2017,92,16,0,1,0,0,0,0,52,Ida-Harju,16 578 €,2 337 €,3 147 €, 150 €,10 567 €, 0 €, 0 €,12 942 €
Randvere Kogudus,vald422,2018,96,16,0,1,2,0,0,0,49,Ida-Harju,10 036 €,2 555 €,2 436 €, 563 €,1 977 €, 0 €,2 189 €,11 963 €
Randvere Kogudus,vald423,2019,92,15,0,5,0,0,0,0,50,Ida-Harju,9 651 €,2 790 €,1 932 €, 630 €,2 991 €, 173 €, 501 €,8 639 €
Randvere Kogudus,vald424,2020,90,12,0,3,0,0,0,0,43,Ida-Harju,10 464 €,2 830 €,2 260 €, 250 €,4 020 €, 0 €, 0 €,10 556 €
Rannamõisa Kogudus,vald425,2017,700,47.1,9,19,3,0,25,24,118,Lääne-Harju,47 851 €,4 341 €,39 300 €, 960 €, 0 €,2 199 €,1 000 €,43 415 €
Rannamõisa Kogudus,vald426,2018,700,44.5,6,17,3,0,20,20,125,Lääne-Harju,47 751 €,4 366 €,37 495 €,1 182 €, 0 €,1 045 €,3 606 €,45 674 €
Rannamõisa Kogudus,vald427,2019,700,45.1,10,26,1,0,25,17,105,Lääne-Harju,56 695 €,5 735 €,39 880 €,1 257 €,5 112 €,2 230 €,2 259 €,54 679 €
Rannamõisa Kogudus,vald428,2020,700,35,4,13,2,0,8,15,118,Lääne-Harju,54 827 €,9 717 €,40 702 €, 831 €,2 180 €, 595 €, 800 €,58 676 €
Rannu Püha Martini Kogudus,vald429,2017,140,5.5,0,3,0,0,0,0,18,Valga,20 874 €, 390 €, 191 €, 80 €,9 641 €,4 158 €,5 064 €,18 242 €
Rannu Püha Martini Kogudus,vald430,2018,140,14,2,2,0,0,0,45,14,Valga,12 301 €, 665 €, 881 €, 330 €,2 000 €,2 254 €, 0 €,11 021 €
Rannu Püha Martini Kogudus,vald431,2019,153,22,5,9,0,0,0,10,31,Valga,40 565 €,3 730 €,3 270 €, 250 €,29 582 €,2 254 €,1 278 €,36 095 €
Rannu Püha Martini Kogudus,vald432,2020,163,12,6,5,0,0,0,8,36,Valga,30 749 €,3 836 €, 195 €, 100 €,11 576 €, 350 €,2 016 €,42 306 €
Räpina Miikaeli Kogudus,vald433,2017,1650,45,10,41,3,2,7,12,485,Võru,346 098 €,14 103 €,9 781 €,3 250 €,5 860 €,2 409 €,1 977 €,349 287 €
Räpina Miikaeli Kogudus,vald434,2018,950,45,10,43,3,3,8,12,450,Võru,320 710 €,15 468 €,8 659 €,2 630 €,5 236 €,2 814 €,9 539 €,317 147 €
Räpina Miikaeli Kogudus,vald435,2019,1500,45,10,35,3,3,5,15,435,Võru,381 757 €,15 437 €,9 866 €,2 950 €,5 230 €,2 699 €,1 974 €,331 782 €
Räpina Miikaeli Kogudus,vald436,2020,1500,30,8,37,3,2,5,15,400,Võru,382 557 €,15 418 €,9 097 €,2 295 €,18 280 €,2 409 €, 828 €,328 858 €
Rapla Maarja-Magdaleena Kogudus,vald437,2017,2300,65,40,66,14,14,0,9,514,Lääne-Harju,197 355 €,30 886 €,9 659 €,8 608 €,27 996 €,1 200 €,3 044 €,181 691 €
Rapla Maarja-Magdaleena Kogudus,vald438,2018,2200,63,26,67,8,7,0,10,484,Lääne-Harju,205 461 €,32 669 €,10 461 €,7 668 €,51 716 €,3 686 €,2 731 €,204 998 €
Rapla Maarja-Magdaleena Kogudus,vald439,2019,2100,52,16,50,6,5,0,10,456,Lääne-Harju,163 049 €,34 801 €,13 314 €,5 356 €,28 623 €,4 522 €, 0 €,173 095 €
Rapla Maarja-Magdaleena Kogudus,vald440,2020,2100,38,24,63,4,3,0,4,450,Lääne-Harju,192 744 €,39 437 €,11 268 €,6 224 €,37 055 €,95 215 €, 0 €,177 747 €
Reigi Jeesuse Kogudus,vald441,2017,350,21,4,7,1,1,0,0,77,Saarte,17 881 €,3 365 €,2 440 €, 706 €,6 500 €,2 172 €,1 158 €,20 110 €
Reigi Jeesuse Kogudus,vald442,2018,350,19,1,13,1,1,0,0,75,Saarte,23 876 €,3 859 €,2 395 €, 700 €, 0 €,2 721 €, 199 €,48 324 €
Reigi Jeesuse Kogudus,vald443,2019,350,21,0,15,2,2,0,0,69,Saarte,51 201 €,3 767 €,3 174 €,1 800 €,18 942 €,1 979 €,1 165 €,40 295 €
Reigi Jeesuse Kogudus,vald444,2020,300,12,2,9,0,0,0,0,62,Saarte,41 304 €,3 393 €,2 791 €,1 070 €,30 174 €,2 399 €, 0 €,45 149 €
Ridala Püha Maarja Magdaleena Kogudus,vald445,2017,409,17,4,2,2,2,0,4,56,Lääne,32 615 €,3 452 €,2 137 €, 595 €,3 705 €,1 166 €,10 670 €,31 322 €
Ridala Püha Maarja Magdaleena Kogudus,vald446,2018,414,17,6,2,2,0,0,6,44,Lääne,31 957 €,4 263 €,2 328 €, 799 €,6 956 €,1 215 €,10 441 €,30 365 €
Ridala Püha Maarja Magdaleena Kogudus,vald447,2019,464,19,10,5,1,1,0,4,55,Lääne,47 358 €,5 892 €,2 313 €,1 088 €,1 997 €,1 328 €,6 059 €,50 312 €
Ridala Püha Maarja Magdaleena Kogudus,vald448,2020,471,14,5,6,0,0,0,5,43,Lääne,32 430 €,4 785 €,2 694 €, 555 €,8 392 €, 325 €,8 479 €,34 319 €
Risti Kogudus,vald449,2017,764,46.46,24,25,5,0,48,15,312,Lääne-Harju,81 037 €,15 875 €,29 311 €,3 871 €,4 969 €,7 067 €,9 396 €,80 362 €
Risti Kogudus,vald450,2018,847,41,24,19,2,0,22,18,325,Lääne-Harju,105 844 €,19 705 €,7 678 €,2 595 €,7 569 €,3 525 €,16 531 €,126 732 €
Risti Kogudus,vald451,2019,901,45,19,28,3,0,59,24,341,Lääne-Harju,95 174 €,22 747 €,5 079 €,5 668 €,1 844 €,5 386 €,6 015 €,66 223 €
Risti Kogudus,vald452,2020,909,37,36,36,2,0,5,46,374,Lääne-Harju,136 895 €,28 754 €,6 781 €,8 378 €,57 222 €,6 580 €,10 569 €,-129 751 €
Rõngu Mihkli Kogudus,vald453,2017,200,26,7,14,2,0,10,0,84,Valga,14 101 €,1 950 €,3 526 €, 240 €,3 425 €,3 774 €, 741 €,9 071 €
Rõngu Mihkli Kogudus,vald454,2018,200,26,6,13,0,0,5,0,90,Valga,20 363 €,1 703 €,4 791 €, 280 €,4 493 €,4 999 €, 600 €,13 817 €
Rõngu Mihkli Kogudus,vald455,2019,200,26,3,13,1,1,0,0,91,Valga,15 562 €,2 345 €,3 116 €, 100 €,1 200 €,5 661 €,1 031 €,28 492 €
Rõngu Mihkli Kogudus,vald456,2020,200,12,0,12,0,0,0,0,86,Valga,23 460 €,1 365 €,2 443 €, 350 €,8 614 €,6 101 €, 0 €,36 463 €
Roosa Jakobi Kogudus,vald457,2017,60,11,0,3,0,0,0,0,18,Võru, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €
Roosa Jakobi Kogudus,vald458,2018,58,13,0,3,0,0,0,0,22,Võru, 80 €, 80 €, 0 €, 0 €, 0 €, 0 €, 0 €, 191 €
Roosa Jakobi Kogudus,vald459,2019,58,15,0,3,0,0,0,0,21,Võru, 50 €, 50 €, 0 €, 0 €, 0 €, 0 €, 0 €, 133 €
Roosa Jakobi Kogudus,vald460,2020,59,5,0,3,0,0,0,0,22,Võru,1 712 €, 310 €, 55 €, 50 €, 675 €, 0 €, 0 €,1 190 €
Rootsi-Mihkli,vald461,2017,436,58,6,8,10,0,0,18,174,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald462,2018,448,60,5,6,7,0,0,23,196,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald463,2019,462,65,7,7,6,0,0,23,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald464,2020,469,18,3,9,2,0,0,24,208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rõuge Maarja Kogudus,vald465,2017,2503,49,25,42,7,7,0,12,340,Võru,25 385 €,12 069 €,2 146 €, 170 €,3 200 €, 969 €, 0 €,24 684 €
Rõuge Maarja Kogudus,vald466,2018,2508,45,38,32,10,10,0,15,327,Võru,35 321 €,12 186 €,2 783 €,1 675 €,3 300 €,1 548 €, 0 €,29 412 €
Rõuge Maarja Kogudus,vald467,2019,2500,48,30,30,7,7,0,0,321,Võru,34 458 €,12 730 €,3 608 €, 750 €,3 300 €,1 930 €, 0 €,37 027 €
Rõuge Maarja Kogudus,vald468,2020,2500,12,22,27,5,5,3,0,286,Võru,156 336 €,12 663 €,3 936 €, 910 €,3 300 €,2 102 €,116 000 €,40 296 €
Ruhnu Püha Magdaleena Kogudus,vald469,2017,50,15,2,1,0,0,0,0,14,Saarte,10 682 €, 312 €,8 611 €, 481 €, 0 €,1 240 €, 0 €,5 404 €
Ruhnu Püha Magdaleena Kogudus,vald470,2018,50,5,0,0,1,1,0,0,13,Saarte,15 119 €, 359 €,1 831 €, 100 €,6 404 €,6 325 €, 0 €,14 753 €
Ruhnu Püha Magdaleena Kogudus,vald471,2019,50,28,1,3,1,0,0,0,14,Saarte,21 250 €, 689 €,2 375 €, 900 €,11 131 €,6 155 €, 0 €,20 461 €
Ruhnu Püha Magdaleena Kogudus,vald472,2020,61,7,2,0,0,0,0,0,20,Saarte,12 089 €, 690 €,1 839 €, 50 €,2 050 €, 0 €, 0 €,10 461 €
Saarde Katariina Kogudus,vald473,2017,830,50,3,18,1,0,8,780,60,Pärnu,86 067 €,1 686 €,17 850 €,3 540 €,1 297 €, 0 €,26 847 €,79 436 €
Saarde Katariina Kogudus,vald474,2018,832,50,0,18,1,0,8,700,61,Pärnu,29 636 €,1 525 €,13 405 €,1 150 €,1 250 €, 0 €,10 219 €,34 035 €
Saarde Katariina Kogudus,vald475,2019,830,8,13,27,0,0,10,97,40,Pärnu,54 874 €,1 760 €, 0 €,3 120 €,6 750 €, 0 €,15 884 €,48 862 €
Saarde Katariina Kogudus,vald476,2020,803,15,4,18,0,0,0,76,64,Pärnu,67 062 €,2 004 €,16 632 €,2 480 €,12 826 €,3 500 €,29 620 €,63 783 €
Saaremaa Jaani Kogudus,vald477,2017,90,15,0,1,0,0,0,0,18,Saarte,1 140 €, 535 €, 352 €, 50 €, 0 €, 200 €, 0 €,5 978 €
Saaremaa Jaani Kogudus,vald478,2018,80,16,0,3,0,0,0,0,18,Saarte,2 370 €, 640 €, 480 €, 50 €,1 000 €, 200 €, 0 €,1 327 €
Saaremaa Jaani Kogudus,vald479,2019,75,18,1,4,0,0,0,0,18,Saarte,2 401 €, 600 €, 520 €, 80 €,1 000 €, 200 €, 0 €,2 134 €
Saaremaa Jaani Kogudus,vald480,2020,75,9,1,1,0,0,0,0,17,Saarte,2 962 €, 875 €, 360 €, 0 €,1 466 €, 200 €, 0 €,1 228 €
Saksa Lunastaja Kogudus,vald481,2017,128,25,6,1,4,0,6,103,39,Tallinna,104 970 €,4 914 €,1 086 €, 0 €, 0 €, 0 €, 860 €,103 148 €
Saksa Lunastaja Kogudus,vald482,2018,138,27,6,0,4,0,16,111,60,Tallinna,101 358 €,6 371 €,1 190 €, 0 €, 0 €, 0 €,91 973 €,37 987 €
Saksa Lunastaja Kogudus,vald483,2019,138,27,2,4,1,0,21,109,60,Tallinna,14 983 €,4 918 €, 225 €, 0 €, 0 €, 0 €,9 563 €,41 920 €
Saksa Lunastaja Kogudus,vald484,2020,138,12,2,4,2,0,9,76,60,Tallinna,27 783 €,6 183 €, 0 €, 0 €,1 375 €, 0 €,19 972 €,39 259 €
Saku Toomase Kogudus,vald485,2017,102,25.6,14,1,1,1,36,55,40,Lääne-Harju,14 987 €,3 358 €,2 721 €, 260 €, 0 €, 0 €, 0 €,16 973 €
Saku Toomase Kogudus,vald486,2018,119,27.5,11,0,0,0,85,80,39,Lääne-Harju,14 257 €,5 531 €,4 069 €, 50 €, 0 €, 0 €, 0 €,10 047 €
Saku Toomase Kogudus,vald487,2019,125,30.7,7,1,1,1,53,70,56,Lääne-Harju,20 412 €,5 439 €,10 535 €, 125 €, 0 €, 0 €,2 078 €,19 598 €
Saku Toomase Kogudus,vald488,2020,131,22,4,2,1,1,20,33,58,Lääne-Harju,21 394 €,6 873 €,4 366 €, 540 €,2 980 €, 0 €,2 000 €,15 081 €
Sangaste Püha Andrease Kogudus,vald489,2017,2150,30,4,16,2,0,10,5,190,Valga,22 037 €,4 194 €,3 507 €, 122 €,1 500 €, 800 €,7 710 €,27 489 €
Sangaste Püha Andrease Kogudus,vald490,2018,2200,32,18,19,0,0,11,0,201,Valga,22 934 €,4 920 €,3 760 €, 315 €,1 500 €,1 050 €,5 509 €,19 288 €
Sangaste Püha Andrease Kogudus,vald491,2019,2200,33,17,14,1,0,8,2,217,Valga,101 315 €,5 972 €,3 666 €, 460 €,4 960 €, 800 €,11 497 €,50 017 €
Sangaste Püha Andrease Kogudus,vald492,2020,2220,22,6,34,0,0,0,4,198,Valga,34 996 €,8 550 €, 245 €, 585 €,10 606 €, 800 €,13 908 €,85 342 €
Saue Pauluse Kogudus,vald493,2019,18,16,0,0,0,0,0,24,18,Lääne-Harju,46 953 €,4 311 €, 592 €, 0 €, 0 €, 0 €,10 696 €,10 620 €
Saue Pauluse Kogudus,vald494,2020,19,11,0,0,0,0,0,12,19,Lääne-Harju,59 083 €,2 710 €, 834 €, 0 €, 620 €, 0 €,40 884 €,25 286 €
Simuna Siimona ja Juuda Kogudus,vald495,2017,2300,17,1,0,1,0,0,49,96,Viru,22 962 €,2 905 €,1 395 €, 265 €,2 000 €, 211 €,5 776 €,25 277 €
Simuna Siimona ja Juuda Kogudus,vald496,2018,1900,24,4,10,1,0,0,47,76,Viru,95 407 €,2 721 €,1 562 €, 595 €,3 050 €,70 642 €,7 857 €,28 543 €
Simuna Siimona ja Juuda Kogudus,vald497,2019,2100,37,0,11,0,0,0,88,83,Viru,46 845 €,3 216 €,2 228 €, 370 €,2 958 €,14 261 €,6 168 €,27 903 €
Simuna Siimona ja Juuda Kogudus,vald498,2020,2100,5,0,14,0,0,0,15,69,Viru,26 977 €,2 971 €,1 247 €, 210 €,11 471 €, 320 €,3 092 €,94 807 €
Sindi Kogudus,vald499,2017,14,5,4,0,0,0,0,15,14,Pärnu,4 300 €, 125 €, 5 €, 170 €, 327 €, 0 €,3 673 €,2 265 €
Sindi Kogudus,vald500,2018,14,5,0,0,0,0,0,12,12,Pärnu,3 687 €, 110 €, 56 €, 0 €, 0 €, 0 €,3 237 €,1 994 €
Sindi Kogudus,vald501,2019,13,4,0,0,0,0,0,12,13,Pärnu,3 272 €, 160 €, 161 €, 0 €, 250 €, 0 €,2 404 €,4 527 €
Sindi Kogudus,vald502,2020,13,6,0,0,0,0,0,9,8,Pärnu,3 808 €, 150 €, 189 €, 0 €, 0 €, 0 €,2 659 €,1 722 €
Soome Püha Peetruse Kogudus,vald503,2017,322,43,2,7,7,1,5,21,102,Tallinna,41 419 €,3 780 €,4 884 €,1 085 €, 0 €, 0 €,31 002 €,31 448 €
Soome Püha Peetruse Kogudus,vald504,2018,200,38,3,1,9,0,9,12,122,Tallinna,45 020 €,3 975 €,3 788 €,1 750 €, 0 €, 0 €,33 904 €,38 592 €
Soome Püha Peetruse Kogudus,vald505,2019,305,45.1,2,5,9,0,9,12,102,Tallinna,41 383 €,3 570 €,4 714 €,1 290 €, 0 €, 0 €,30 830 €,38 313 €
Soome Püha Peetruse Kogudus,vald506,2020,310,20,1,1,3,0,0,10,102,Tallinna,37 616 €,4 085 €, 878 €, 700 €, 0 €, 0 €,31 024 €,30 387 €
Suure-Jaani Johannese Kogudus,vald507,2017,1000,16,7,23,2,0,0,28,152,Viljandi,16 277 €,7 964 €,1 965 €, 910 €, 0 €,1 747 €,2 000 €,16 933 €
Suure-Jaani Johannese Kogudus,vald508,2018,919,20,8,14,2,0,0,0,112,Viljandi,23 774 €,6 896 €,3 268 €,2 910 €, 0 €,4 950 €,3 500 €,30 218 €
Suure-Jaani Johannese Kogudus,vald509,2019,920,17,7,13,1,0,0,0,125,Viljandi,34 742 €,6 006 €,2 236 €,3 540 €,9 819 €,10 813 €,1 000 €,26 591 €
Suure-Jaani Johannese Kogudus,vald510,2020,925,10,6,10,0,0,0,0,125,Viljandi,30 485 €,6 796 €,1 656 €,2 990 €,10 870 €,6 339 €, 350 €,41 102 €
Taagepera Jaani Kogudus,vald511,2017,420,23,3,9,3,3,0,7,103,Viljandi,6 095 €,1 279 €,1 546 €,1 075 €, 800 €, 0 €, 800 €,4 568 €
Taagepera Jaani Kogudus,vald512,2018,420,19,0,2,1,0,0,10,101,Viljandi,6 333 €,1 110 €,1 818 €, 830 €, 700 €, 0 €,1 300 €,5 726 €
Taagepera Jaani Kogudus,vald513,2019,415,22,0,7,0,0,0,20,97,Viljandi,32 179 €,1 449 €,1 494 €, 475 €, 700 €,25 000 €,2 358 €,22 039 €
Taagepera Jaani Kogudus,vald514,2020,415,11,5,2,0,0,0,0,91,Viljandi,8 400 €,1 542 €, 795 €, 680 €,3 360 €, 113 €,1 910 €,7 395 €
Tahkuranna Kogudus,vald515,2017,70,6,0,1,0,0,0,0,26,Pärnu,16 010 €, 445 €, 196 €, 150 €, 0 €, 0 €,15 200 €,10 780 €
Tahkuranna Kogudus,vald516,2018,70,5,0,1,0,0,0,0,18,Pärnu,11 726 €, 335 €, 282 €, 0 €, 0 €, 0 €, 0 €, 978 €
Tahkuranna Kogudus,vald517,2019,70,5,0,1,0,0,0,0,16,Pärnu,1 879 €, 315 €, 167 €, 0 €, 0 €, 0 €,1 183 €,6 217 €
Tahkuranna Kogudus,vald518,2020,70,5,0,0,0,0,0,0,16,Pärnu,1 574 €, 190 €, 127 €, 0 €, 0 €, 0 €, 464 €, 793 €
Tallinna Jaani Kogudus,vald32,2017,12108,350,139,106,19,13,32,32,1559,Tallinna,370 505 €,115 199 €,54 160 €,16 612 €,5 700 €,50 835 €,3 227 €,379 727 €
Tallinna Jaani Kogudus,vald32,2018,12151,340,127,122,20,14,35,49,1534,Tallinna,321 295 €,120 700 €,64 939 €,19 272 €,28 080 €,26 268 €,1 015 €,336 008 €
Tallinna Jaani Kogudus,vald32,2019,12117,280,94,113,18,14,25,64,1576,Tallinna,530 710 €,128 459 €,80 215 €,16 758 €,124 309 €,63 894 €,1 186 €,523 818 €
Tallinna Jaani Kogudus,vald32,2020,12082,200,71,125,16,10,2,26,1547,Tallinna,443 433 €,143 900 €,37 687 €,17 339 €,35 228 €,65 891 €, 0 €,402 493 €
Tallinna Kaarli Kogudus,vald32,2017,13544,179,151,120,21,16,14,70,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinna Kaarli Kogudus,vald32,2018,13700,178,124,114,24,17,12,90,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinna Kaarli Kogudus,vald32,2019,13919,180,153,122,29,26,19,336,1776,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinna Kaarli Kogudus,vald32,2020,14123,88,127,117,19,17,0,38,1725,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinna Peeteli Kogudus,vald32,2017,290,19,13,6,1,0,20,164,56,Tallinna,39 471 €,1 792 €,2 717 €, 260 €, 0 €,14 328 €,8 929 €,42 464 €
Tallinna Peeteli Kogudus,vald32,2018,272,18,6,1,0,0,23,69,48,Tallinna,260 666 €,2 191 €,5 224 €, 280 €,213 099 €,4 400 €,11 956 €,261 077 €
Tallinna Peeteli Kogudus,vald32,2019,283,20,1,0,2,0,0,0,61,Tallinna,50 561 €,2 774 €,10 993 €, 400 €, 0 €,24 319 €,8 623 €,38 586 €
Tallinna Peeteli Kogudus,vald32,2020,294,13,4,2,0,0,0,0,61,Tallinna,38 064 €,5 349 €,3 614 €, 175 €,1 725 €,11 800 €,6 325 €,-31 182 €
Tallinna Püha Neitsi Maarja Toomkogudus,vald32,2017,1500,109,50,18,15,11,11,74,382,Tallinna,453 028 €,49 360 €,14 017 €,7 281 €, 0 €,22 748 €,5 655 €,496 533 €
